location,count,link
"london",147,"http://localhost:4001/browse.html#london"
"philadelphia",23,"http://localhost:4001/browse.html#philadelphia"
"new york",10,"http://localhost:4001/browse.html#new%20york"
"edinburgh",4,"http://localhost:4001/browse.html#edinburgh"
"oxford",2,"http://localhost:4001/browse.html#oxford"
"dublin",2,"http://localhost:4001/browse.html#dublin"
"liverpool",1,"http://localhost:4001/browse.html#liverpool"
"hanover",1,"http://localhost:4001/browse.html#hanover"
"brighton",1,"http://localhost:4001/browse.html#brighton"
"rödelheim",1,"http://localhost:4001/browse.html#r%C3%B6delheim"
"london & new york",1,"http://localhost:4001/browse.html#london%20&%20new%20york"
