title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,object_thumb,object_location,reference_url
"[The Great Synagogue]","William Henry Pyne","1810","Synagogue, Duke&#39;s Place, Houndsditch","The Great Synagogue, Duke&#39;s Place Synagogue","London","","","","vjwp_1","still image","jpg","","","","https://victorianjewishwritersproject.s3.amazonaws.com/objects/thumbs/vjwp_1_th.jpg","https://victorianjewishwritersproject.s3.amazonaws.com/objects/vjwp_1","http://localhost:4000/items/vjwp_1.html"
"Lingua Sacra: in Three Parts","David Levi","1803","Lingua sacra: in three parts. Part I. contains a complete Hebrew grammar ... Part II. a complete Hebrew-English dictionary; containing all the words in the ... books of the Old Testament (being pure Hebrew); the Chaldee words in Daniel and Ezra; Targums of Onkelas, Jonathan, and Jerusalem; and such words in the Talmud, and writings of the most eminent rabbins, as serve to illustrate Scripture. Part III. to contain all words ... terms of art. and phrases used in the English tongue ...","Hebrew language--Grammar; Hebrew language--Dictionaries--English; English language--Dictionaries--Hebrew","London","","","","vjwp_10","book","pdf","English; Hebrew","","","https://victorianjewishwritersproject.s3.amazonaws.com/objects/thumbs/vjwp_10_th.jpg","https://victorianjewishwritersproject.s3.amazonaws.com/objects/vjwp_10.pdf","http://localhost:4000/items/vjwp_10.html"
"Lingua Sacra: in Three Parts","David Levi","1803","Lingua sacra: in three parts. Part I. contains a complete Hebrew grammar ... Part II. a complete Hebrew-English dictionary; containing all the words in the ... books of the Old Testament (being pure Hebrew); the Chaldee words in Daniel and Ezra; Targums of Onkelas, Jonathan, and Jerusalem; and such words in the Talmud, and writings of the most eminent rabbins, as serve to illustrate Scripture. Part III. to contain all words ... terms of art. and phrases used in the English tongue ...","Hebrew language--Grammar; Hebrew language--Dictionaries--English; English language--Dictionaries--Hebrew","London","","","","vjwp_51","book","pdf","English; Hebrew","","","https://victorianjewishwritersproject.s3.amazonaws.com/objects/thumbs/vjwp_51_th.jpg","https://victorianjewishwritersproject.s3.amazonaws.com/objects/vjwp_51.pdf","http://localhost:4000/items/vjwp_51.html"
"Lingua Sacra: in Three Parts","David Levi","1803","Lingua sacra: in three parts. Part I. contains a complete Hebrew grammar ... Part II. a complete Hebrew-English dictionary; containing all the words in the ... books of the Old Testament (being pure Hebrew); the Chaldee words in Daniel and Ezra; Targums of Onkelas, Jonathan, and Jerusalem; and such words in the Talmud, and writings of the most eminent rabbins, as serve to illustrate Scripture. Part III. to contain all words ... terms of art. and phrases used in the English tongue ...","Hebrew language--Grammar; Hebrew language--Dictionaries--English; English language--Dictionaries--Hebrew","London","","","","vjwp_52","book","pdf","English; Hebrew","","","https://victorianjewishwritersproject.s3.amazonaws.com/objects/thumbs/vjwp_52_th.jpg","https://victorianjewishwritersproject.s3.amazonaws.com/objects/vjwp_52.pdf","http://localhost:4000/items/vjwp_52.html"
"Lingua Sacra: in Three Parts","David Levi","1803","Lingua sacra: in three parts. Part I. contains a complete Hebrew grammar ... Part II. a complete Hebrew-English dictionary; containing all the words in the ... books of the Old Testament (being pure Hebrew); the Chaldee words in Daniel and Ezra; Targums of Onkelas, Jonathan, and Jerusalem; and such words in the Talmud, and writings of the most eminent rabbins, as serve to illustrate Scripture. Part III. to contain all words ... terms of art. and phrases used in the English tongue ...","Hebrew language--Grammar; Hebrew language--Dictionaries--English; English language--Dictionaries--Hebrew","London","","","","vjwp_53","book","pdf","English; Hebrew","","","https://victorianjewishwritersproject.s3.amazonaws.com/objects/thumbs/vjwp_53_th.jpg","https://victorianjewishwritersproject.s3.amazonaws.com/objects/vjwp_53.pdf","http://localhost:4000/items/vjwp_53.html"
"The Order of the Daily Prayers, in Hebrew and English, According to the Custom of the Spanish and Portuguese Jews; as Read in their Synagogues and Used by their Families","David Levi","1810","Second edition. Bilingual prayer book in Hebrew and in English. Western Sephardic tradition.","Judaism--Customs and practices--Sephardic rite","London","","","","vjwp_11","book","pdf","English; Hebrew","","","https://victorianjewishwritersproject.s3.amazonaws.com/objects/thumbs/vjwp_11_th.jpg","https://victorianjewishwritersproject.s3.amazonaws.com/objects/vjwp_11.pdf","http://localhost:4000/items/vjwp_11.html"
"Letters to Dr. Priestly, in Answer to Those He Addressed to the Jews; Inviting Them to an Amicable Discussion of the Evidences of Christianity","David Levi","1789","Published letters from Levi to Priestly constituting a defense of Judaism.","Judaism--Apologetic works","London","","","","vjwp_12","book","pdf","English","","","https://victorianjewishwritersproject.s3.amazonaws.com/objects/thumbs/vjwp_12_th.jpg","https://victorianjewishwritersproject.s3.amazonaws.com/objects/vjwp_12.pdf","http://localhost:4000/items/vjwp_12.html"
"Dissertations on the Prophesies of the Old Testament, Containing All Such Prophecies as are Applicable to the Coming of the Messiah, the Restoration of the Jews, and the Resurrection of the Dead","David Levi","1793","Jewish apologetics concerning the notion of prophecy and the traditional Jewish reading of Hebrew Bible prophecies with respect to the messiah and messianic time.","Judaism--Apologetic works","London","","","","vjwp_13","book","pdf","English","","","https://victorianjewishwritersproject.s3.amazonaws.com/objects/thumbs/vjwp_13_th.jpg","https://victorianjewishwritersproject.s3.amazonaws.com/objects/vjwp_13.pdf","http://localhost:4000/items/vjwp_13.html"
"Dissertations on the Prophesies of the Old Testament, Containing All Such Prophecies as are Applicable to the Coming of the Messiah, the Restoration of the Jews, and the Resurrection of the Dead","David Levi","1796","Jewish apologetics concerning the notion of prophecy and the traditional Jewish reading of Hebrew Bible prophecies with respect to the messiah and messianic time.","Judaism--Apologetic works","London","","","","vjwp_54","book","pdf","English","","","https://victorianjewishwritersproject.s3.amazonaws.com/objects/thumbs/vjwp_54_th.jpg","https://victorianjewishwritersproject.s3.amazonaws.com/objects/vjwp_54.pdf","http://localhost:4000/items/vjwp_54.html"
"Dissertations on the Prophesies of the Old Testament, Containing All Such Prophecies as are Applicable to the Coming of the Messiah, the Restoration of the Jews, and the Resurrection of the Dead","David Levi","1800","Jewish apologetics concerning the notion of prophecy and the traditional Jewish reading of Hebrew Bible prophecies with respect to the messiah and messianic time.","Judaism--Apologetic works","London","","","","vjwp_55","book","pdf","English","","","https://victorianjewishwritersproject.s3.amazonaws.com/objects/thumbs/vjwp_55_th.jpg","https://victorianjewishwritersproject.s3.amazonaws.com/objects/vjwp_55.pdf","http://localhost:4000/items/vjwp_55.html"
