subject,count,link
"judaism--apologetic works",31,"victorianjewishwritersproject.org/browse.html#judaism--apologetic%20works"
"jewish philosophy",17,"victorianjewishwritersproject.org/browse.html#jewish%20philosophy"
"great britain--fiction",16,"victorianjewishwritersproject.org/browse.html#great%20britain--fiction"
"hebrew language--grammar",14,"victorianjewishwritersproject.org/browse.html#hebrew%20language--grammar"
"english--literature--jewish authors",13,"victorianjewishwritersproject.org/browse.html#english--literature--jewish%20authors"
"social classes--fiction",10,"victorianjewishwritersproject.org/browse.html#social%20classes--fiction"
"literature--poetry",9,"victorianjewishwritersproject.org/browse.html#literature--poetry"
"bible. old testament--versions, jewish",9,"victorianjewishwritersproject.org/browse.html#bible.%20old%20testament--versions,%20jewish"
"jews--fiction",8,"victorianjewishwritersproject.org/browse.html#jews--fiction"
"nature--poetry",7,"victorianjewishwritersproject.org/browse.html#nature--poetry"
"jewish literature for children",5,"victorianjewishwritersproject.org/browse.html#jewish%20literature%20for%20children"
"children's literature",5,"victorianjewishwritersproject.org/browse.html#children's%20literature"
"jewish sermons",5,"victorianjewishwritersproject.org/browse.html#jewish%20sermons"
"aramaic language--grammar",5,"victorianjewishwritersproject.org/browse.html#aramaic%20language--grammar"
"literature--anecdotes",5,"victorianjewishwritersproject.org/browse.html#literature--anecdotes"
"bible stories, english",4,"victorianjewishwritersproject.org/browse.html#bible%20stories,%20english"
"jewish poetry",4,"victorianjewishwritersproject.org/browse.html#jewish%20poetry"
"english literature--history and criticism",4,"victorianjewishwritersproject.org/browse.html#english%20literature--history%20and%20criticism"
"hebrew language--dictionaries--english",4,"victorianjewishwritersproject.org/browse.html#hebrew%20language--dictionaries--english"
"poetry",4,"victorianjewishwritersproject.org/browse.html#poetry"
"english language--dictionaries--hebrew",4,"victorianjewishwritersproject.org/browse.html#english%20language--dictionaries--hebrew"
"london (england)--fiction",4,"victorianjewishwritersproject.org/browse.html#london%20(england)--fiction"
"aristoracy (social class)--fiction",3,"victorianjewishwritersproject.org/browse.html#aristoracy%20(social%20class)--fiction"
"aristocracy (social class)--fiction",3,"victorianjewishwritersproject.org/browse.html#aristocracy%20(social%20class)--fiction"
"upper class families--fiction",3,"victorianjewishwritersproject.org/browse.html#upper%20class%20families--fiction"
"dandies--fiction",3,"victorianjewishwritersproject.org/browse.html#dandies--fiction"
"gothic fiction (literary genre)",3,"victorianjewishwritersproject.org/browse.html#gothic%20fiction%20(literary%20genre)"
"england social conditions--fiction",3,"victorianjewishwritersproject.org/browse.html#england%20social%20conditions--fiction"
"chartism--fiction",3,"victorianjewishwritersproject.org/browse.html#chartism--fiction"
